Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege;commentFP
ACT;BG;423-06;;;Fonds national d'amorçage n° 2;Fonds national d'amorçage;
ACT;BG;423-07;;;Fonds à l'internationalisation des PME;Fonds à l'internationalis;
ACT;BG;423-08;;;"Fonds de fonds ""Multicap Croissance"" n° 2";"Fonds de fonds ""Multicap ";
ACT;BG;423-09;;;Grands défis;Grands défis;
PGM;BG;424;AV;12;Financement des investissements stratégiques;Fin.inv.stratégiques;Face à l’ampleur du réchauffement climatique, à l’épuisement des ressources naturelles et aux enjeux de souveraineté et de développement de filières industrielles compétitives et décarbonées en France, ce nouveau programme permettra de soutenir l’innovation et l’émergence de solutions nouvelles plus résilientes et plus respectueuses de l'environnement, de nature à corriger les fragilités révélées par la crise actuelle. Il interviendra notamment dans des secteurs d’avenir stratégiques pour l’indépendance, la résilience, la soutenabilité et la compétitivité de nos modèles économiques et technologiques sur l’ensemble des territoires.
ACT;BG;424-01;;;Programmes et équipements prioritaires de recherche;Pgms et equip.prior.rech;
ACT;BG;424-02;;;Maturation de technologies, R&D, valorisation de la recherche;Matur.R&D.val rech;
ACT;BG;424-03;;;Démonstration en conditions réelles, amorçage et premières commerciales;Démo.amorçage.cond réel;
ACT;BG;424-04;;;Soutien au déploiement;Soutien déploiement;
ACT;BG;424-05;;;Accélération de la croissance (fonds propres);Accél.croissance;
PGM;BG;425;AV;12;Financement structurel des écosystèmes d'innovation;Fin.écosyst.innov;Dans sa logique structurelle, le PIA 4 agira à deux niveaux (i) pour amplifier le soutien aux universités, aux écoles, aux organismes de recherche et de transfert de technologie, pour renforcer leur rayonnement scientifique à l’international, développer des campus de démonstration des grandes transitions sociétales, accompagner les innovations jusqu’au marché et faire de la France le terreau le plus fertile d’Europe pour les chercheurs et les entrepreneurs d'une part et (ii) pour financer le développement des jeunes entreprises innovantes, des projets de R&D risques et favoriser les synergies entre le monde de la recherche et des entreprises d'autre part.
ACT;BG;425-01;;;Financements de l'écosystème ESRI et valorisation;Fin.ecosyt.ESRI;
ACT;BG;425-02;;;Aides à l'innovation « bottom-up »;Aides innov.bottum up;
MSN;BG;TR;;;Transformation et fonction  publiques;Trans&fonct.Publ.;La mission « Transformation et fonction publiques » porte les crédits destinés à accompagner la transformation durable de l’action de l’État et de ses opérateurs afin que cette dernière soit plus efficiente tant au niveau des moyens financiers et humains alloués que de la qualité du service rendu aux usagers. Elle se compose de cinq programmes qui concourent tous à l’ambition interministérielle d’une action publique transformée s’appuyant sur l’engagement d’agents publics responsabilisés.
PGM;BG;148;TR;50;Fonction publique;Fonction publique;"La loi n° 2019-828 du 6 août 2019 de transformation de la fonction publique ambitionne une transformation profonde du cadre de gestion des politiques de ressources humaines dans la fonction publique, avec en perspective un renforcement du rôle de la DGAFP en qualité de DRH de l’État. Les actions 2021 portées par la DGAFP ont vocation à poursuivre sa capacité de piloter des politiques de ressources humaines profondément rénovées : • poursuite de la refonte des instances de dialogue social ; • Réforme profonde de la cartographie et des compétences des commissions administratives paritaires ; • Amélioration du cadre de travail et de la santé sécurité au travail des agents publics ; • Accompagnement des transitions professionnelles des agents publics entre la fonction publique et le secteur privé ; • Égalité professionnelle entre les femmes et les hommes ; • Promotion des personnes en situation de handicap ; • Professionnalisation de la fonction recrutement."
ACT;BG;148-01;;;Formation des fonctionnaires;Formation des fonctionnai;
SSA;BG;148-01-01;;;Ecole nationale d'administration;Ecole nationale d'adminis;
SSA;BG;148-01-02;;;Instituts régionaux d'administration;Instituts régionaux d'adm;
SSA;BG;148-01-07;;;Formation interministérielle;Formation interministérie;
ACT;BG;148-02;;;Action sociale interministérielle;Action sociale interminis;
SSA;BG;148-02-02;;;Aide aux familles;Aide aux familles;
SSA;BG;148-02-03;;;Retraités;Retraités;
SSA;BG;148-02-04;;;Logement;Logement;
SSA;BG;148-02-05;;;Restauration;Restauration;
SSA;BG;148-02-06;;;Sections régionales interministérielles d'action sociale;Sections régionales inter;
ACT;BG;148-03;;;Appui et innovation des ressources humaines;Appui Innovation RH;
PGM;BG;348;TR;7;Rénovation des cités administratives et autres sites domaniaux multi-occupants;RénCitéAdmSiteDomMultiOcc;Ce programme a vocation, dans le cadre des objectifs de la politique immobilière de l'État et du grand plan d'investissement (GPI), à financer le plan de rénovation des cités administratives, notamment pour permettre aux administrations de disposer d'un parc immobilier mieux adapté à leurs missions, optimisé et moins coûteux, répondant aux objectifs de service public aux usagers dans les territoires et présentant une meilleure performance énergétique.
ACT;BG;348-11;;;Etudes;Etudes;
ACT;BG;348-12;;;Travaux et gros entretien à la charge du propriétaire;Trav gros entretien propr;
ACT;BG;348-13;;;Acquisitions, construction;Acqui.construction;
PGM;BG;349;TR;50;Fonds pour la transformation de l'action publique;FondsTransf.Act.Publ;La transformation de l'action publique constitue un impératif afin d'adapter les services publics aux attentes et besoins des usagers, de saisir les opportunités offertes par les nouvelles méthodes et technologies et d'offrir aux agents de meilleures conditions de travail. Le Fonds pour la transformation de l'action publique (FTAP), place? sous la responsabilité du délégué interministériel à la transformation publique, finance les coûts d’investissement nécessaires à de telles réformes. En 2021, le Fonds sera attentif à l’accompagnement des réformes prioritaires du Gouvernement et des orientations du plan de relance : accélération des simplifications administratives, soutien à l’action publique dans les territoires, déploiement du programme d’expérience usagers, etc.
ACT;BG;349-01;;;Fonds pour la transformation de l'action publique;Fonds pour la transformat;
PGM;BG;351;TR;50;Fonds d'accompagnement interministériel Ressources humaines;FondsAccIntRH;Le programme 351 « Fonds d’Accompagnement interministériel RH » participe au co-financement de projets inscrits dans les plans ministériels de transformation pour accompagner les mobilités fonctionnelle, géographique, au sein de la fonction publique ou vers le secteur privé des agents dont les missions évoluent. Les projets portent sur des dispositifs de formation, de valorisation des compétences et des talents, d’acquisition de nouvelles compétences dans le cadre de projets professionnels, ainsi que sur des indemnités versées aux agents pour faciliter les mobilités ou les départs hors de la fonction publique.
ACT;BG;351-01;;;Accompagnement interministériel Ressources humaines;Accompagnement RH;
PGM;BG;352;TR;50;Innovation et transformation numériques;Innov&transf.numérique;Le programme 352 cofinance le recrutement des entrepreneurs d'intérêt général (EIG), de designers d'intérêt général (DIG), du Commando UX, experts numériques de la société civile qui participent à la transformation numérique du service public en intégrant pour quelques mois des équipes des administrations sur des projets d’innovation et d’amélioration du service public. Le programme 352 soutient des projets portés par des agents publics témoins d'irritants dans la relation que les usagers peuvent avoir avec leur administration ou témoins de méthodes de travail internes de faible efficacité ou dégradant la qualité du travail des agents publics. Le programme 352 finance l'animation de ces dispositifs d’innovation et fournit aux équipes un environnement optimal pour réussir leurs projets. Le programme 352 permet aussi d’améliorer la qualité des démarches administratives en ligne.Les démarches prioritaires sont recensées dans l’observatoire de la qualité des démarches en ligne.
ACT;BG;352-02;;;Soutien au recrutement de profils rares dédiés à l'innovation numérique;Recrut.profis rares;
ACT;BG;352-01;;;Fonds pour l'accélération du financement des start-up d'État;Fonds pour l'accélération;
MSN;BG;SE;;;Solidarité, insertion et égalité des chances;Sol.inserEgalChances;
PGM;BG;124;SE;56;Conduite et soutien des politiques sanitaires et sociales;CondSoutienPoliSanSociale;
ACT;BG;124-16;;;Statistiques, études et recherche;Statistiques, études et r;
ACT;BG;124-10;;;Fonctionnement des services;Fonctionnement des servic;
ACT;BG;124-11;;;Systèmes d'information;Systèmes d'information;
ACT;BG;124-12;;;Affaires immobilières;Affaires immobilières;
ACT;BG;124-14;;;Communication;Communication;
ACT;BG;124-15;;;Affaires européennes et internationales;Affaires européennes et i;
ACT;BG;124-17;;;Financement des agences régionales de santé;Financement des agences r;
ACT;BG;124-18;;;Personnels mettant en oeuvre les politiques sociales et de la santé;Personnels mettant en oeu;
ACT;BG;124-20;;;Personnels mettant en oeuvre les politiques pour les droits des femmes;Personnels mettant en oeu;
ACT;BG;124-21;;;Personnels mettant en œuvre les politiques de la ville, du logement et de l'hébergement;Personnels mettant en œuv;
ACT;BG;124-22;;;Personnels transversaux et de soutien;Personnels transversaux e;
ACT;BG;124-23;;;Politique des ressources humaines;Politique des ressources ;
ACT;BG;124-98;;;Personnel des services centraux concourant aux programmes de politique;Personnel des services ce;
ACT;BG;124-99;;;Personnel des services déconcentrés concourant aux programmes de politique;Personnel des services dé;
PGM;BG;157;SE;12;Handicap et dépendance;Handicap et dépendance;
ACT;BG;157-12;;;Allocations et aides en faveur des personnes handicapées;Allocations et aides en f;
SSA;BG;157-12-01;;;Allocation pour adultes handicapés;AAH;
SSA;BG;157-12-02;;;Allocation supplémentaire d'invalidité;ASI;
SSA;BG;157-12-03;;;Financement de la rémunération garantie pour les travailleurs handicapés;Aide au poste;
ACT;BG;157-13;;;Pilotage du programme et animation des politiques inclusives;Pilotage du programme et ;
SSA;BG;157-13-01;;;Accompagnement de la situation de handicap;Emploi accompagné et FDCH;
SSA;BG;157-13-02;;;Subventions nationales, opérateurs et lutte contre la maltraitance;Subv et maltraitance;
SSA;BG;157-13-03;;;Contentieux et études;Contentieux et études;
PGM;BG;137;SE;12;Égalité entre les femmes et les hommes;ÉgalitéFemmesHommes;L’égalité entre les femmes et les hommes a été érigée au rang de grande cause nationale du quinquennat. Le ministère chargé de l’égalité entre les femmes et les hommes inscrit son action autour de trois axes d’intervention prioritaires : la prévention et la lutte contre les violences faites aux femmes, l’émancipation économique des femmes et l’accès aux droits et la diffusion de la culture de l’égalité. L'effort budgétaire important de l'Etat avec une augmentation des crédits du programme 137 en 2021 de près de 40% permettra de renforcer son action sur : la réponse aux besoins d’écoute et d’orientation des femmes victimes de violences et le développement de lieux d’information et d’accueil de proximité sur l’ensemble du territoire national dont l’outre-mer, le soutien aux associations intervenant auprès des femmes, la prévention des actes de violences conjugales et de leur récidive et l'insertion professionnelle des femmes notamment par la création d'entreprises et le développement de la mixité des métiers.
ACT;BG;137-21;;;Politiques publiques - Accès au droit;Politiques publiques - Ac;
ACT;BG;137-22;;;Partenariats et innovations;Partenariats et innovatio;
ACT;BG;137-23;;;Soutien du programme égalité entre les femmes et les hommes;Soutien du programme égal;
PGM;BG;304;SE;56;Inclusion sociale et protection des personnes;Inclusion sociale;Les crédits du programme 304 « Inclusion sociale et protection des personnes » sont majoritairement orientés vers le financement de prestations sociales, dont la prime d’activité, qui a été fortement revalorisée le 1er janvier 2019 dans le cadre des mesures d’urgence économiques et sociales, entraînant une hausse importante du nombre de foyers concernés. L’action du Gouvernement s’inscrit dans une démarche globale de lutte contre le non-recours sur l’ensemble des prestations et des droits. Ce programme finance également la stratégie nationale de prévention et de lutte contre la pauvreté, présentée par le Président de la République le 13 septembre 2018 et qui s’est déployée depuis 2019 à la fois via une contractualisation ambitieuse entre l’État et des collectivités territoriales « cheffes de file » et des mesures d’investissement social. Sur le même modèle, la stratégie nationale de prévention et de protection de l’enfance se déploie depuis 2020 par une contractualisation de l'Etat avec les départements.
ACT;BG;304-11;;;Prime d'activité et autres dispositifs;Prime d'activité et autre;
SSA;BG;304-11-01;;;Prime d'activité;Prime d'activité;
SSA;BG;304-11-02;;;Autres dispositifs;Autres dispositifs;
ACT;BG;304-13;;;Ingénierie, outils de la gouvernance et expérimentations;Ingénierie, outils de la ;
SSA;BG;304-13-01;;;Innovation et expérimentation sociale;Innovat° et expé sociale;
SSA;BG;304-13-02;;;Expérimentations (RSA - CUI 7heures et autres expérimentations);Expérimentations (RSA - C;
SSA;BG;304-13-03;;;Ingénierie, outils de la gouvernance - Evaluation et communication;Ingénierie, outils de la ;
ACT;BG;304-14;;;Aide alimentaire;Aide alimentaire;
SSA;BG;304-14-01;;;Aide alimentaire - crédits nationaux;Aide alimentaire - crédit;
SSA;BG;304-14-02;;;Aide alimentaire - crédits déconcentrés;Aide alimentaire - crédit;
ACT;BG;304-15;;;Qualification en travail social;Qualification en travail ;
SSA;BG;304-15-01;;;Qualification en travail social - crédits nationaux;Qualification en travail ;
SSA;BG;304-15-02;;;Qualification en travail social - crédits déconcentrés;Qualification en travail ;
SSA;BG;304-15-03;;;Certification professionnelle;Certificat° prof.;
ACT;BG;304-16;;;Protection juridique des majeurs;Protection juridique des ;
SSA;BG;304-16-01;;;Services tutélaires;Services tutélaires;
SSA;BG;304-16-02;;;Mandataires individuels;Mandataires individuels;
ACT;BG;304-17;;;Protection et accompagnement des enfants, des jeunes et des familles vulnérables;Protection et accompagnem;
SSA;BG;304-17-01;;;Agence française de l'adoption;AFA;
SSA;BG;304-17-02;;;GIP Enfance en danger;GIPED;
SSA;BG;304-17-03;;;Soutien financier aux organismes nationaux;Subventions nationales;
SSA;BG;304-17-04;;;Frais de justice;Frais de justice;
SSA;BG;304-17-05;;;Autres actions nationales;Autres actions nationales;
SSA;BG;304-17-06;;;Point accueil écoute jeune;PAEJ;
SSA;BG;304-17-07;;;Mineurs Non Accompagnés;MNA;
SSA;BG;304-17-08;;;Autres actions  locales;Autres actions  locales;
SSA;BG;304-17-09;;;Stratégie de prévention et protection de l'enfance;Strat protect° enfance;
SSA;BG;304-17-10;;;Cellules territoriales appui et isolement;CTAI;
SSA;BG;304-17-11;;;Plan vacances apprenantes;Vacances apprenantes;
ACT;BG;304-18;;;Aide à la vie familiale et sociale des anciens migrants dans leur pays d'origine (AVFS);AVFS;
ACT;BG;304-19;;;Stratégie interministérielle de Prévention et de Lutte contre la Pauvreté des Enfants et des Jeunes;Stratégie interministérie;
SSA;BG;304-19-01;;;Contractualisation avec les départements;Contractualisation CD;
SSA;BG;304-19-02;;;Mesures d'investissement social (hors contractualisation);Mesures d'invest.social;
SSA;BG;304-19-03;;;Contractualisation avec les régions;Contractualisat° régions;
SSA;BG;304-19-04;;;Contractualisation avec les métropoles;Contract métropoles;
SSA;BG;304-19-05;;;Marge de manœuvre territoriale;Marge de manœuvre territ.;
MSN;BG;SF;;;Sport, jeunesse et vie associative;SportJeunAssoc;
PGM;BG;219;SF;6;Sport;Sport;
ACT;BG;219-03;;;Prévention par le sport et protection des sportifs;Prévention sport;
ACT;BG;219-01;;;Promotion du sport pour le plus grand nombre;sport plus grand nombre;
ACT;BG;219-02;;;Développement du sport de haut niveau;haut niveau;
ACT;BG;219-04;;;Promotion des métiers du sport;Promotion métiers sport;
ACT;BG;219-98;;;Personnels des services centraux concourant au programme sport;Personnels des services c;
ACT;BG;219-99;;;Personnels des services déconcentrés concourant aux programme Sport;Personnels des services d;
PGM;BG;163;SF;6;Jeunesse et vie associative;Jeunesse et vie associati;
ACT;BG;163-01;;;Développement de la vie associative;Dvpt  vie associative;
ACT;BG;163-02;;;Actions en faveur de la jeunesse et de l'éducation populaire;Actions JEP;
ACT;BG;163-04;;;Développement du service civique;Dvpt service civique;
ACT;BG;163-06;;;Service National Universel;SNU;
PGM;BG;350;SF;6;Jeux olympiques et paralympiques 2024;JoP2024;
ACT;BG;350-01;;;Société de livraison des ouvrages olympiques et paralympiques;SOLIDEO;
ACT;BG;350-02;;;Comité d'organisation des jeux olympiques et paralympiques;COJO;
ACT;BG;350-04;;;Héritage des jeux olympiques et paralympiques;Héritage des jeux olympiq;
ACT;BG;350-05;;;Autres dépenses liées aux Jeux olympiques et paralympiques;Autres dépenses JOP;
MSN;BG;TA;;;Écologie, développement et mobilité durables;Ecol.dv.mob.durables;La mission finance l’ensemble des politiques mises en œuvre par l’État en faveur de la transition écologique, à laquelle sera également consacrée près du tiers des 100 milliards d’euros mobilisés entre 2020 et 2022 dans le cadre de France relance. La transformation du crédit d’impôt pour la transition énergétique en prime à compter de 2020 contribuera à donner une nouvelle impulsion à la lutte contre la précarité énergétique. Les plans climat et biodiversité se poursuivront ainsi que l’engagement international de la France dans ces domaines avec l’accueil en 2021 du congrès mondial de l’UICN. Les propositions issues de la Convention citoyenne pour le climat seront progressivement mises en œuvre et l’État poursuivra son soutien à la transition énergétique au travers du développement des énergies renouvelables, et de la loi d’orientation des mobilités, pour permettre la mise en œuvre d’une véritable politique des mobilités.
PGM;BG;174;TA;23;Énergie, climat et après-mines;ÉnergieClimatAprès-mines;Le programme « Énergie, climat et après-mines » poursuit trois objectifs stratégiques : la mise en œuvre d'une politique énergétique durable, la lutte contre le réchauffement climatique et l'accompagnement des anciens mineurs dans le cadre de la gestion de l'après-mines. L'année 2021 sera marquée par la poursuite de la mise en œuvre de la loi Energie-climat, la mise en œuvre de la Stratégie nationale bas-carbone révisée en avril 2020 et du plan climat adopté en juillet 2018. Des dépenses nouvelles sont portées par le programme à la suite de la suppression du compte d’affectation spéciale « Transition énergétique » à compter du 1er janvier 2021.
ACT;BG;174-01;;;Politique de l'énergie;Politique de l'énergie;
SSA;BG;174-01-02;;;Agence nationale pour la gestion des déchets radioactifs (ANDRA);ANDRA;
SSA;BG;174-01-03;;;Politique de l'énergie hors ADEME et ANDRA;Energie hors ADEME&ANDRA;
SSA;BG;174-01-04;;;Revitalisation des territoires;Revit.territoires;
SSA;BG;174-01-05;;;Paquet social Accompagnement de la fermeture des centrales à charbon;PS Acc ferm centr charbon;
SSA;BG;174-01-06;;;Protocole;Protocole;
ACT;BG;174-06;;;Soutien;Soutien;
ACT;BG;174-04;;;Gestion économique et sociale de l'après-mines;Gest éco soc après-mines;
SSA;BG;174-04-01;;;Agence nationale de garantie des droits des mineurs (ANGDM);ANGDM;
SSA;BG;174-04-02;;;Intervention après-mines (hors ANGDM);interventions hors ANGDM;
SSA;BG;174-04-06;;;Charbonnages;Charbonnages;
ACT;BG;174-05;;;Lutte contre le changement climatique et pour la qualité de l'air;Lutte chgt clim qual air;
SSA;BG;174-05-01;;;Lutte contre l'effet de serre;Lutte effet de serre;
SSA;BG;174-05-02;;;Surveillance de la qualité de l'air;Surv qualité de l'air;
SSA;BG;174-05-03;;;Centre interprofessionnel technique d'études de la pollution atmosphérique (CITEPA);CITEPA;
SSA;BG;174-05-04;;;Etudes et essais dans le domaine des émissions des véhicules;Etudes&essais émiss véh;
SSA;BG;174-05-05;;;Surveillance du marché;Surveillance marché;
SSA;BG;174-05-06;;;Contrôles des carburants;Ctrl carburants;
ACT;BG;174-02;;;Accompagnement transition énergétique;Acc.trans.énerg.;
SSA;BG;174-02-02;;;Chèque énergie;Chèque énergie;
SSA;BG;174-02-01;;;Prime transition énergétique;Prime trans.énerg.;
ACT;BG;174-03;;;Aides à l'acquisition de véhicules propres;Aides acq.véh.propres;
SSA;BG;174-03-01;;;Aides à l'acquisition de véhicules propres;Bonus automobile;
SSA;BG;174-03-02;;;Aides au retrait de véhicules polluants;PAC;
PGM;BG;181;TA;23;Prévention des risques;Prévention des risques;"Le programme ""prévention des risques"" porte les actions de l’État sur des problématiques toujours plus d’actualité : la poursuite de la mise en sécurité des logements autour de sites Seveso, la mise en œuvre de la loi relative à la lutte contre le gaspillage et à l’économie circulaire, les impacts sanitaires liés aux pollutions et nuisances ainsi que le lancement d’une 4? génération du plan national santé-environnement, enfin la poursuite d’une politique structurée contre les risques d’inondation ou les risques sismiques en particulier aux Antilles, avec un accompagnement financier porté principalement par la nouvelle action ""fonds de prévention des risques naturels majeurs"" créée au sein du programme 181 en 2021. De nombreux opérateurs appuient l'État dans ces politiques publiques et se rattachent à ce programme comme l'ADEME ainsi que l'ASN, autorité indépendante, sur les enjeux de sûreté nucléaire liés aux installations en production  ou à l'EPR en construction."
ACT;BG;181-01;;;Prévention des risques technologiques et des pollutions;Prev-risq-tech-pollution;
SSA;BG;181-01-05;;;Prévention des risques technologiques;Prév risques techno;
SSA;BG;181-01-02;;;Santé Environnement et Économie circulaire;Santé Envir Éco circulair;
ACT;BG;181-13;;;Institut national de l'environnement industriel et des risques (INERIS);INERIS;
ACT;BG;181-12;;;Agence de l'environnement et de la maîtrise de l'énergie (ADEME);ADEME;
ACT;BG;181-09;;;Contrôle de la sûreté nucléaire et de la radioprotection;Contrôl-sûreté nucl-radio;
ACT;BG;181-10;;;Prévention des risques naturels et hydrauliques;Prev-risq-nat-hydraulique;
SSA;BG;181-10-04;;;Connaissance et culture du risque dans le domaine des inondations;Connaissance-inond;
SSA;BG;181-10-05;;;Surveillance et prévision des inondations (hydrologie, prévision des inondations et radars météorologiques) - mission RDI;Surv-Prev-Inondation-RDI;
SSA;BG;181-10-06;;;Sécurité des ouvrages hydrauliques;Sécurité-ouvrages-hydraul;
SSA;BG;181-10-11;;;"Support et contentieux concourant à l'action ""Prévention des risques naturels et hydrauliques""";Support-Contentieux-act10;
SSA;BG;181-10-12;;;Connaissance, culture du risque et surveillance dans le domaine des risques naturels (multirisques ou terrestres);Conn-cult-risq-surveil-RN;
SSA;BG;181-10-16;;;Travaux de prévention des risques naturels (multirisques ou terrestres);Travaux de prévention-RN;
SSA;BG;181-10-20;;;Soutien aux Programmes d'actions de prévention des inondations (animation);Soutien PAPI (animation);
SSA;BG;181-10-18;;;Travaux de prévention des risques hydrauliques;Trav prévention risq hydr;
ACT;BG;181-11;;;Gestion de l'après-mine et travaux de mise en sécurité, indemnisations et expropriations sur les sites;Gestion-apres-mines;
SSA;BG;181-11-01;;;GEODERIS;GEODERIS;
SSA;BG;181-11-02;;;BRGM;BRGM;
SSA;BG;181-11-03;;;Plans de prévention des risques miniers et Autres études;PPRM et autres études;
SSA;BG;181-11-04;;;Travaux de sécurité dans les mines, indemnisation et expropriations sur les sites miniers;Trav-sécu-ind-exp-miniers;
ACT;BG;181-14;;;Fonds de prévention des risques naturels majeurs;FPRNM;
SSA;BG;181-14-01;;;Plans d'action portés par les collectivités locales;Plans d'actions CL;
SSA;BG;181-14-02;;;Plan séisme Antilles;Plan séisme Antilles;
SSA;BG;181-14-03;;;Mesures individuelles réduction vulnérabilité (hors plans d'action);Réduc vulnérabilité indiv;
SSA;BG;181-14-04;;;Connaissance et évaluation des RN (hors plans d'action);Connaissance et éval RN;
SSA;BG;181-14-05;;;Mise en conformité des digues domaniales;Mise en conformité DD;
PGM;BG;355;TA;7;Charge de la dette de SNCF Réseau reprise par l'État (crédits évaluatifs);Reprise dette SNCF;"Le programme ""Charge de la dette de SNCF Réseau reprise par l’État"" résulte de la reprise d'une partie de la dette de SNCF Réseau par l’État, en 2020 à hauteur de 25 milliards d’euros en principal et en 2022 à hauteur de 10 milliards d’euros en principal. Il permet d’identifier l’effet de cette reprise de dette sur le budget de l’État, et en miroir sur celui de SNCF Réseau."
ACT;BG;355-01;;;Charge de la dette de SNCF Réseau reprise par l'État;Charge Dette SNCF Réseau;
PGM;BG;159;TA;23;Expertise, information géographique et météorologie;Exp.Géo.Météo;"Le programme 159 ""expertise, information géographique et météorologie"" finance 3 opérateurs stratégiques (Météo-France, lGN et Cérema) et le Commissariat général au développement durable. Cette diversité entraîne une pluralité d'objectifs qui s'expriment à travers les indicateurs de performance : l'amélioration des prévisions de Météo-France, le développement de l'expertise du Cérema auprès des collectivités territoriales, l'évolution de l'IGN pour devenir l'acteur incontournable de la cartographie du territoire, l’action du CGDD dans les politiques publiques."
ACT;BG;159-12;;;Information géographique et cartographique;Information géographique ;
SSA;BG;159-12-01;;;Production de l'information géographique;Production de l'informati;
SSA;BG;159-12-02;;;Recherche dans le domaine de l'information géographique;Recherche dans le domaine;
SSA;BG;159-12-03;;;Pilotage de la politique d'information géographique;Pilotage de la politique ;
ACT;BG;159-11;;;Etudes et expertise en matière de développement durable;CEREMA;
ACT;BG;159-13;;;Météorologie;Météorologie;
SSA;BG;159-13-01;;;Observation et prévision dans le domaine météorologique;Observation et prévision ;
SSA;BG;159-13-02;;;Recherche dans le domaine météorologique;Recherche dans le domaine;
ACT;BG;159-10;;;Gouvernance, évaluation, études et prospective en matière de développement durable;Gouvernance, évaluation, ;
SSA;BG;159-10-08;;;Politique de la connaissance et animation en matière de développement durable;Connaissance animation DD;
SSA;BG;159-10-09;;;Affaires stratégiques et transversales du CGDD;Aff. strat. et transv.;
PGM;BG;113;TA;23;Paysages, eau et biodiversité;PaysEauBiodiv;Le programme « Paysages, eau et biodiversité » concerne l’ensemble des actions liées à la protection de l’eau et de la biodiversité, à travers la préservation des ressources et milieux naturels terrestres et marins, l’aménagement concerté et la protection des espaces, mais aussi à la résilience des territoires. Elle s’inscrit dans le cadre de politiques examinées en conseil de défense écologique depuis 2019 et s’inscrit dans de nombreuses stratégies interministérielles (Plan biodiversité 2018, Assises de l’eau 2018-2019). Ce programme intervient dans des domaines dans lesquels la France s’est engagée au niveau international et européen. L'année 2021 revêtira une importance particulière avec l’accueil par la France du congrès mondial de l’UICN et l’élaboration du cadre mondial pour la Biodiversité lors de la Conférence des Parties sur la Diversité biologique (COP15).
ACT;BG;113-02;;;logistique, formation et contentieux;Logistique et contentieux;
SSA;BG;113-02-01;;;Fonctionnement courant et logistique;Fonctionnement courant;
SSA;BG;113-02-02;;;Contentieux de l'ingénierie, de l'eau et de la biodiversité;Contentieux IEB;
ACT;BG;113-01;;;Sites, paysages, publicité;Sites, paysages, pub;
SSA;BG;113-01-11;;;Préservation des sites, des paysages et publicité (CPER);Préservation sites (CPER);
SSA;BG;113-01-10;;;Préservation des sites, des paysages et publicité (hors CPER);Préservation site (HCPER);
ACT;BG;113-07;;;Gestion des milieux et biodiversité;Gestion des milieux;
SSA;BG;113-07-41;;;Mesures territoriales dans le domaine de l'eau (hors CPER);Eau (HCPER);
SSA;BG;113-07-20;;;Milieux et espaces marins (CPER);Milieux marins (CPER);
SSA;BG;113-07-31;;;Conservation des espèces et des habitats d'intérêt européen dans le réseau Natura 2000 (hors CPER);Natura 2000 (HCPER);
SSA;BG;113-07-16;;;Sécurité d'approvisionnement des matières premières et coopération minière;Matières 1ères;
SSA;BG;113-07-19;;;Milieux et espaces marins (hors CPER);Milieux marins (HCPER);
SSA;BG;113-07-32;;;Conservation des espèces et des habitats d'intérêt européen dans le réseau Natura 2000 (CPER);Natura 2000 (CPER);
SSA;BG;113-07-40;;;Mesures territoriales dans le domaine de l'eau (CPER);Eau (CPER);
SSA;BG;113-07-42;;;Espaces protégés (CPER);Espaces protégés (CPER);
SSA;BG;113-07-43;;;Espaces protégés  (hors CPER);Espaces protégés  (HCPER);
SSA;BG;113-07-44;;;Biodiversité, connaissance, contrôle, expertise, conservation des espèces (CPER);Biodiversité (CPER);
SSA;BG;113-07-45;;;Biodiversité, connaissance, contrôle, expertise, conservation des espèces (hors CPER);Biodiversité (HCPER);
SSA;BG;113-07-46;;;Opérateurs de l'eau et de la biodiversité;AFB - SCSP;
PGM;BG;345;TA;23;Service public de l'énergie;ServicePubEnergie;Le programme 345 « Service public de l'énergie » assure le financement des charges associées aux obligations de service public de l'énergie assignées aux entreprises du secteur de l'électricité et du gaz en matière de soutien au développement des énergies renouvelables électriques, de la cogénération et du biométhane en injection, de péréquation tarifaire avec les zones non interconnectées au réseau métropolitain continental d’électricité, de développement des effacements de consommation et de protection des consommateurs en situation de précarité énergétique.
ACT;BG;345-09;;;Soutien aux énergies renouvelables électriques en métropole continentale;Soutien ENR Métropole;
SSA;BG;345-09-01;;;Eolien terrestre;Eolien terrestre;
SSA;BG;345-09-02;;;Eolien en mer;Eolien en mer;
SSA;BG;345-09-03;;;Solaire photovoltaïque;Solaire photovoltaïque;
SSA;BG;345-09-04;;;Bio-énergies;Bio-énergies;
SSA;BG;345-09-05;;;Autres énergies;Autres énergies;
ACT;BG;345-10;;;Soutien à l'injection de biométhane;Soutien biométhane;
SSA;BG;345-10-01;;;Soutien à l'injection de biométhane;Sout.inject.biométhane;
ACT;BG;345-11;;;Soutien dans les zones non interconnectées au réseau métropolitain;Soutien ZNI;
SSA;BG;345-11-01;;;Soutien à la transition énergétique dans les ZNI;Soutien TE ZNI;
SSA;BG;345-11-02;;;Mécanismes de solidarité avec les ZNI;Solidarité ZNI;
ACT;BG;345-12;;;Soutien à la cogénération au gaz naturel et autres moyens thermiques;Soutien cogénération ...;
SSA;BG;345-12-01;;;Soutien à la cogénération au gaz naturel et autres moyens thermiques;Soutien cogénération ...;
